Date,Ticker,Close,High,Low,Open,Volume
2021-01-04,MSFT,208.4065399169922,213.4900908644091,205.64935379985505,213.04013300201316,37130100
2021-01-04,NET,74.58999633789062,77.69999694824219,72.22000122070312,77.55999755859375,4439600
2021-01-04,NTAP,57.20201110839844,58.84240232908519,56.611119305407925,58.621919710483155,2319900
2021-01-04,ORCL,59.30575942993164,60.18952869223157,58.76619160151675,60.18023093822321,11249900
2021-01-04,SNPS,254.6999969482422,263.0,251.35000610351562,260.0,979700
2021-01-05,MSFT,208.60755920410156,209.20112898306692,206.50138202886356,207.9948528511583,23823000
2021-01-05,NET,75.13999938964844,75.9000015258789,73.01000213623047,73.12999725341797,2864500
2021-01-05,NTAP,57.47542190551758,57.89875160063746,56.743417812183836,56.778695847493594,1860300
2021-01-05,ORCL,58.57084655761719,59.342986179538414,58.12430939203797,59.24065408036698,11005700
2021-01-05,SNPS,258.8900146484375,259.510009765625,253.7899932861328,254.75999450683594,791800
2021-01-06,MSFT,203.19850158691406,207.2576901048468,202.90172401611616,203.12191147056765,35930700
2021-01-06,NET,73.2699966430664,75.2300033569336,71.01000213623047,73.0,4467800
2021-01-06,NTAP,57.52833938598633,58.65720954388142,57.03445364545956,57.09618852195079,2406400
2021-01-06,ORCL,58.430763244628906,59.159162225394205,57.81442482344112,58.15061006451463,8685400
2021-01-06,SNPS,249.6999969482422,255.0399932861328,249.25999450683594,253.2899932861328,854400
2021-01-07,MSFT,208.9809112548828,209.98613642014786,204.59624041863154,204.91215455439107,27694500
2021-01-07,NET,79.0199966430664,79.19000244140625,74.30999755859375,74.4000015258789,6191900
2021-01-07,NTAP,57.96366500854492,58.61224979428892,57.475011552659346,57.919245664450564,2014900
2021-01-07,ORCL,58.89768600463867,59.52336487963483,58.69223867817114,58.69223867817114,7382800
2021-01-07,SNPS,258.8399963378906,259.44000244140625,252.22999572753906,252.67999267578125,743500
2021-01-08,MSFT,210.2542266845703,211.17329358978736,207.77468161014076,209.35431096289832,22956200
2021-01-08,NET,79.1500015258789,81.94000244140625,77.55000305175781,80.16000366210938,4577900
2021-01-08,NTAP,57.72378921508789,58.478985949449,57.35951394151018,58.02586519744213,2670800
2021-01-08,ORCL,59.18718719482422,59.336602479777376,58.74827823674996,59.00041719804742,7751700
2021-01-08,SNPS,262.79998779296875,264.3299865722656,259.2900085449219,259.989990234375,630400
2021-01-11,MSFT,208.2150421142578,209.5744837947097,207.4874433218534,209.15324546396417,23031300
2021-01-11,NET,76.5,79.88999938964844,76.20999908447266,78.0,3381500
2021-01-11,NTAP,57.9459114074707,58.35460606704561,56.87086543323486,57.03079001989253,1440400
2021-01-11,ORCL,58.86033630371094,59.3646142048346,58.68290677361538,58.785630445585895,6284700
2021-01-11,SNPS,260.42999267578125,264.6199951171875,258.1600036621094,258.1600036621094,533300
2021-01-12,MSFT,205.76422119140625,207.84169356915027,204.22289427900293,207.26727495468438,23249300
2021-01-12,NET,77.81999969482422,78.22000122070312,75.69000244140625,77.0,2961400
2021-01-12,NTAP,58.78107833862305,59.13646031055128,58.1147269735427,58.50564849835908,1550200
2021-01-12,ORCL,58.29069519042969,58.85100521216999,58.06657403160684,58.832327855211155,7758200
2021-01-12,SNPS,258.5799865722656,261.8399963378906,255.82000732421875,261.4800109863281,560200
